Treatment,Threshold,Tail_Points,"Exp_Params (loc, scale)",GPD_Type,"GPD_Params (c, loc, scale)",Exp_LogLik,GPD_LogLik,P_Value,Better_Model
Acidic,-0.0142101025526477,20,"-0.0082696715787237, 0.00962604414890621",GPD (Weibull),"-0.3139291061373707, -0.0082696715787237, 0.012657040216658163",70.06825303675531,71.02020540891489,0.16764190436829876,Exponential
Caffeine,0.0448780495622083,20,"0.0454466204608876, 0.012217542280061769",GPD (Frechet),"0.25133446807286025, 0.0454466204608876, 0.009348873206551476",-966.1900614770211,-966.0274993143765,0.5685442651668374,Exponential
H2O2,0.0355180177274185,20,"0.0375077868947421, 0.024407388839207508",GPD (Frechet),"0.5103222815008875, 0.0375077868947421, 0.01395404141531272",-673.3170298110238,-672.5878988513548,0.22720687012388444,Exponential
SC,0.0244035321164865,20,"0.0244035321164865, 0.02613600857799513",GPD (Weibull),"-0.11928344622765956, 0.0244035321164865, 0.02932438600475988",-1080.06172808685,-1080.0257013191638,0.7883699692163723,Exponential
worm-20C,0.0195179158761257,20,"0.020082761893494, 0.007287825481188901",GPD (Frechet),"0.41963282063437457, 0.020082761893494, 0.004516915383160334",-551.8124369584764,-550.7651623738894,0.14782531105068847,Exponential
YPD-30C,-0.0101648513055025,20,"-0.0090454615657414, 0.009786278026655437",GPD (Weibull),"-0.723295428762792, -0.0090454615657414, 0.016902698506514536",68.58019807126186,71.19918169023408,0.02209908125402292,GPD (Weibull)
YPD-37C,-0.0172679668283904,20,"-0.0172679668283904, 0.014080087164319756",GPD (Weibull),"-1.0, -0.0172679668283904, 0.027037617806526474",62.914041869333026,68.60278679139037,0.0007433950959784584,GPD (Weibull)
